window_id,Start,Stop
box96,2020-05-06 11:59:31.605,2020-05-06 11:59:33.298
box97,2020-05-06 11:59:42.634,2020-05-06 11:59:44.377
box98,2020-05-06 11:59:53.231,2020-05-06 11:59:55.019
box99,2020-05-06 12:43:55.307,2020-05-06 12:43:57.066
box100,2020-05-06 12:45:27.863,2020-05-06 12:45:29.628
box101,2020-05-06 12:46:53.240,2020-05-06 12:46:55.002
box102,2020-05-06 12:48:52.145,2020-05-06 12:48:53.923
box103,2020-05-06 12:49:16.139,2020-05-06 12:49:17.951
box104,2020-05-06 12:50:14.136,2020-05-06 12:50:15.923
box105,2020-05-06 12:50:37.506,2020-05-06 12:50:39.278
box106,2020-05-06 12:55:32.026,2020-05-06 12:55:33.815
box107,2020-05-06 12:56:59.861,2020-05-06 12:57:01.618
box108,2020-05-06 12:57:27.703,2020-05-06 12:57:29.536
box109,2020-05-06 12:58:21.960,2020-05-06 12:58:23.726
box110,2020-05-06 12:58:41.789,2020-05-06 12:58:43.605
box111,2020-05-06 12:58:57.292,2020-05-06 12:58:59.063
box112,2020-05-06 12:59:13.070,2020-05-06 12:59:14.837
box113,2020-05-06 14:07:47.990,2020-05-06 14:07:49.763
box114,2020-05-06 14:10:03.921,2020-05-06 14:10:05.760
box115,2020-05-06 14:13:24.893,2020-05-06 14:13:26.638
box116,2020-05-06 14:55:38.777,2020-05-06 14:55:40.627
box117,2020-05-06 14:55:57.442,2020-05-06 14:55:59.191
box118,2020-05-06 14:56:21.910,2020-05-06 14:56:23.678
box119,2020-05-06 14:56:51.734,2020-05-06 14:56:53.437
box120,2020-05-06 14:57:09.980,2020-05-06 14:57:11.684
box121,2020-05-06 14:57:22.022,2020-05-06 14:57:23.778
box122,2020-05-06 14:57:39.618,2020-05-06 14:57:41.935
box123,2020-05-06 14:57:59.417,2020-05-06 14:58:01.180
box124,2020-05-06 14:59:29.601,2020-05-06 14:59:31.299
box125,2020-05-06 14:59:48.564,2020-05-06 14:59:50.262
box126,2020-05-06 15:00:06.701,2020-05-06 15:00:08.629
box127,2020-05-06 15:01:09.198,2020-05-06 15:01:10.954
box128,2020-05-06 15:01:27.428,2020-05-06 15:01:29.571
box129,2020-05-06 15:01:53.243,2020-05-06 15:01:55.010
box130,2020-05-06 15:23:15.929,2020-05-06 15:23:17.722
box131,2020-05-06 15:26:09.963,2020-05-06 15:26:11.736
box132,2020-05-06 15:30:39.835,2020-05-06 15:30:41.584
box133,2020-05-07 07:26:05.319,2020-05-07 07:26:07.093
box134,2020-05-07 07:26:34.610,2020-05-07 07:26:36.275
box135,2020-05-07 08:45:09.183,2020-05-07 08:45:10.954
box136,2020-05-07 08:46:22.751,2020-05-07 08:46:24.652
box137,2020-05-07 08:46:41.025,2020-05-07 08:46:42.814
box138,2020-05-07 08:46:46.894,2020-05-07 08:46:48.768
box139,2020-05-07 08:46:59.239,2020-05-07 08:47:01.008
box140,2020-05-07 08:47:35.600,2020-05-07 08:47:37.274
box141,2020-05-07 08:47:47.958,2020-05-07 08:47:49.718
box142,2020-05-07 08:50:00.514,2020-05-07 08:50:02.266
box143,2020-05-07 08:51:50.149,2020-05-07 08:51:52.011
box144,2020-05-07 08:54:34.299,2020-05-07 08:54:36.055
box145,2020-05-07 08:54:52.771,2020-05-07 08:54:54.496
box146,2020-05-07 09:29:19.020,2020-05-07 09:29:20.781
box147,2020-05-07 09:30:06.365,2020-05-07 09:30:08.132
box148,2020-05-07 09:36:27.452,2020-05-07 09:36:29.207
box149,2020-05-07 09:36:52.098,2020-05-07 09:36:53.927
box150,2020-05-07 09:42:27.275,2020-05-07 09:42:29.033
box151,2020-05-07 09:44:19.552,2020-05-07 09:44:21.250
box152,2020-05-07 09:47:00.945,2020-05-07 09:47:02.700
box153,2020-05-07 09:48:34.157,2020-05-07 09:48:35.923
box154,2020-05-07 09:49:28.012,2020-05-07 09:49:29.803
box155,2020-05-07 09:50:10.141,2020-05-07 09:50:11.914
box156,2020-05-07 09:53:22.299,2020-05-07 09:53:24.051
box157,2020-05-07 11:12:05.024,2020-05-07 11:12:06.786
box158,2020-05-07 11:15:42.899,2020-05-07 11:15:44.673
box159,2020-05-07 12:03:33.579,2020-05-07 12:03:35.435
box160,2020-05-07 12:13:45.942,2020-05-07 12:13:47.666
box161,2020-05-07 12:26:27.275,2020-05-07 12:26:29.049
box162,2020-05-07 12:30:53.609,2020-05-07 12:30:55.286
box163,2020-05-07 12:47:58.709,2020-05-07 12:48:00.556
box164,2020-05-07 12:49:09.883,2020-05-07 12:49:11.650
box165,2020-05-07 12:50:17.649,2020-05-07 12:50:19.363
box166,2020-05-07 12:51:29.207,2020-05-07 12:51:30.962
box167,2020-05-07 12:52:21.522,2020-05-07 12:52:23.261
box168,2020-05-07 12:59:43.552,2020-05-07 12:59:45.288
box169,2020-05-07 13:06:11.976,2020-05-07 13:06:13.714
box170,2020-05-07 13:12:44.596,2020-05-07 13:12:46.278
box171,2020-05-07 13:30:27.345,2020-05-07 13:30:29.111
box172,2020-05-07 13:31:10.042,2020-05-07 13:31:11.721
box173,2020-05-07 13:31:46.033,2020-05-07 13:31:47.955
box174,2020-05-07 13:32:09.485,2020-05-07 13:32:11.233
